"Brand","Model","Model.year","Price","Voltage","Power","Torque","Curb.weight","Battery.capacity","Top.speed","Acceleration.from.0.to.100.km.h","NEDC..New.European.Driving.Cycle.","EPA..Electric.car.range.and.efficiency.","WLTP..Worldwide.harmonized.Light.vehicles.Test.Procedure."
"Nissan","Leaf",2013,NA,360,80,254,1477,24,145,NA,200,120.7,NA
"Nissan","Leaf",2012,NA,345,80,280,1543,24,150,NA,175,117.5,NA
"Nissan","Leaf",2012,NA,345,80,280,1521,24,150,NA,175,117.5,NA
"Nissan","Leaf",2011,NA,345,80,280,1543,24,150,NA,175,117.5,NA
"Nissan","Leaf",2011,NA,345,80,280,1521,24,150,NA,175,117.5,NA
"Opel","Corsa-e",2020,"EUR 32,900 (DE, Sep 2019)",NA,100,260,1530,50,150,8.1,NA,NA,NA
"Opel","Corsa-e",2020,"EUR 30,650 (DE, Sep 2019)",NA,100,260,1530,50,150,8.1,NA,NA,NA
"Opel","Corsa-e",2020,"EUR 29,900 (DE, Sep 2019)",NA,100,260,1530,50,150,8.1,NA,NA,NA
"Peugeot","e-208 GT",2019,NA,NA,100,260,1500,50,150,8.1,450,NA,340
"Polestar","2",2020,"USD 63,000 (USA, Oct 2019)GBP 49,900 (UK, Oct 2019)EUR 57,900 (DE, Oct 2019)CNY 460,000 (PRC, Oct 2019)",NA,NA,NA,NA,78,NA,4.7,NA,442.6,500
"Porsche","Taycan",2020,"USD 106,410 (USA, Oct 2019)GBP 83,367 (UK, Oct 2019)",800,320,600,2140,79.2,250,4.1,NA,NA,NA
"Porsche","Taycan",2020,"USD 112,990 (USA, Oct 2019)GBP 87,980 (UK, Oct 2019)",800,360,650,2220,93.4,250,4.1,NA,NA,NA
"Porsche","Taycan",2020,"USD 187,610 (USA, Oct 2019)GBP 138,826 (UK, Oct 2019)",800,460,300,2295,93.4,260,2.8,NA,NA,NA
"Porsche","Taycan",2020,"USD 153,510 (USA, Oct 2019)GBP 115,858 (UK, Oct 2019)",800,460,300,2305,93.4,260,3.2,NA,NA,NA
"Renault","Twingo Z.E.",2020,NA,400,60,160,1178,22,135,12.6,NA,NA,180
"Renault","Twingo Z.E.",2020,NA,400,60,160,1112,22,135,12.6,NA,NA,180
"Renault","Zoe",2020,NA,400,100,245,NA,54.66,140,9.9,NA,NA,395
"Renault","Zoe",2020,NA,400,80,225,NA,54.66,135,NA,NA,NA,395
"Renault","Zoe",2019,"EUR 35,500 (FR, Jul 2019)EUR 35,140 (NL, Jul 2019)EUR 34,100 (DE, Jul 2019)EUR 30,478 (ES, Jul 2019)EUR 36,000 (IT, Jan 2019)",346,80,225,1500,45.61,135,11.4,NA,NA,NA
"Renault","Zoe",2019,"EUR 32,100 (FR, Jul 2019)EUR 32,940 (NL, Jul 2019)EUR 29,900 (DE, Jul 2019)EUR 28,687 (ES, Jul 2019)EUR 34,100 (IT, Jan 2019)",346,68,220,1480,45.61,135,13.2,NA,NA,NA
"Renault","Zoe",2019,"GBP 24,520 (UK, Jan 2019)EUR 33,590 (NL, Jan 2019)EUR 34,600 (IT, Jan 2019)",346,65,220,1480,45.61,135,13.2,NA,NA,NA
"Renault","Zoe",2018,NA,346,80,225,1500,45.61,135,11.4,NA,NA,NA
"Renault","Zoe",2017,NA,360,68,220,1468,25.92,135,13.2,NA,NA,NA
"Renault","Zoe",2017,NA,346,68,220,1480,45.61,135,13.2,NA,NA,NA
"Renault","Zoe",2017,NA,346,68,220,1480,45.61,135,13.2,NA,NA,NA
"Renault","Zoe",2017,NA,346,65,220,1480,45.61,135,13.5,NA,NA,NA
"Renault","Zoe",2015,NA,360,68,220,1468,25.92,135,13.2,240,NA,NA
"Renault","Zoe",2013,NA,400,65,220,1468,25.92,135,13.5,210,NA,NA
"Rivian","R1S",2020,NA,NA,NA,NA,2650,135,201,NA,NA,NA,NA
"Rivian","R1T",2020,NA,NA,NA,NA,2670,135,201,7,NA,NA,NA
"SEAT","Mii electric",2020,"EUR 17,730 (ES, Mar 2020)",NA,61,212,1235,36.8,130,12.3,NA,NA,NA
"SEAT","Mii electric",2020,"EUR 20,650 (DE, Sep 2019)GBP 22,800 (UK, Oct 2019)EUR 18,880 (ES, Mar 2020)",NA,61,212,1235,36.8,130,12.3,NA,NA,NA
"<U+0160>KODA","CITIGOe iV",2020,"GBP 22,815 (UK, Nov 2019)",NA,61,212,1229,36.8,130,12.5,NA,NA,260
"<U+0160>KODA","CITIGOe iV",2020,"EUR 20,950 (DE, Sep 2019)GBP 20,455 (UK, Nov 2019)",NA,61,212,1229,36.8,130,12.5,NA,NA,260
"smart","EQ fortwo cabrio",2020,"GBP 22,980 (UK, Oct 2019)",NA,60,160,1115,17.6,130,11.5,NA,NA,NA
"smart","EQ fortwo coupe",2020,"GBP 21,195 (UK, Oct 2019)",NA,60,160,1085,17.6,130,11.5,NA,NA,NA
"Tesla","Cybertruck",2022,"USD 69,900 (USA, Nov 2019)",NA,NA,NA,NA,NA,209,3.2,NA,805,NA
"Tesla","Cybertruck",2021,"USD 49,900 (USA, Nov 2019)",NA,NA,NA,NA,NA,193,4.8,NA,485,NA
"Tesla","Cybertruck",2021,"USD 39,900 (USA, Nov 2019)",NA,NA,NA,NA,NA,177,6.7,NA,405,NA
"Tesla","Model X",2020,"USD 99,990 (USA, May 2020)GBP 96,400 (UK, Sep 2019)EUR 107,600 (EU, Sep 2019)AUD 185,585 (AU, Sep 2019)CNY 909,900 (China, Sep 2019)",320,568,990,2604,100,250,2.9,NA,NA,NA
"Tesla","Model X",2020,"USD 79,990 (USA, May 2020)GBP 82,200 (UK, Sep 2019)EUR 91,700 (DE, Sep 2019)AUD 161,015 (AU, Sep 2019)CNY 809,900 (China, Sep 2019)",320,386,660,2554,100,250,4.6,580,527.9,NA
"Tesla","Model S",2020,"USD 94,990 (USA, May 2020)GBP 91,800 (UK, Jul 2019)EUR 102,700 (DE, Jul 2019)AUD 174,665 (AU, Jul 2019)CNY 893,900 (China, Jul 2019)",320,568,980,2241,100,250,2.6,NA,NA,NA
"Tesla","Model S",2020,"USD 74,990 (USA, May 2020)GBP 77,200 (UK, Jul 2019)EUR 86,800 (DE, Jul 2019)AUD 148,730 (AU, Jul 2019)CNY 793,900 (China, Jul 2019)",320,478,770,2215,100,250,3.8,713,600.3,NA
"Tesla","Model 3",2020,"USD 37,990 (USA, May 2020)GBP 38,500 (UK, Nov 2019)EUR 44,390 (DE, Nov 2019)AUD 72,896 (AU, Nov 2019)CNY 363,900 (China, Nov 2019)",370,211,NA,1611,54,225,5.6,460,402.3,409
"Tesla","Model 3",2020,"USD 46,990 (USA, May 2020)GBP 47,700 (UK, Nov 2019)EUR 52,390 (DE, Nov 2019)AUD 95,495 (AU, Nov 2019)CNY 439,900 (China, Nov 2019)",370,335,NA,1847,79.5,233.3,4.6,620,518.2,560
"Tesla","Model 3",2020,"USD 54,990 (USA, May 2020)GBP 52,000 (UK, Nov 2019)EUR 56,390 (DE, Nov 2019)AUD 106,415 (AU, Nov 2019)CNY 522,000 (China, Nov 2019)",370,358,NA,1860,79.5,261,3.4,NA,NA,NA
"Tesla","Model Y",2020,"USD 39,000 (USA, Sep 2019)CNY 444,000 (CN, Jan 2020)",NA,NA,NA,NA,NA,193,6.1,NA,370,NA
"Tesla","Model Y",2020,"USD 60,990 (USA, May 2020)EUR 68,980 (DE, Sep 2019)CNY 535,000 (CN, Jan 2020)",NA,358,NA,2003,NA,241,3.7,NA,507,480
"Tesla","Model Y",2020,"USD 52,990 (USA, May 2020)EUR 60,980 (DE, Sep 2019)CNY 488,000 (CN, Sep 2019)",NA,358,NA,2003,NA,217,5.1,NA,507,505
"Tesla","Model Y",2020,"USD 48,000 (USA, Sep 2019)EUR 56,980 (DE, Sep 2019)CNY 444,000 (CN, Sep 2019)",NA,NA,NA,NA,NA,209,5.8,NA,483,540
"Tesla","Model X",2019,"USD 104,990 (USA, Sep 2019)GBP 96,400 (UK, Sep 2019)EUR 107,600 (EU, Sep 2019)AUD 185,585 (AU, Sep 2019)CNY 909,900 (China, Sep 2019)",320,568,990,2604,100,250,2.9,553,490.8,485
"Tesla","Model X",2019,"USD 84,990 (USA, Sep 2019)GBP 82,200 (UK, Sep 2019)EUR 91,700 (DE, Sep 2019)AUD 161,015 (AU, Sep 2019)CNY 809,900 (China, Sep 2019)",320,386,660,2554,100,250,4.6,580,527.9,NA
"Tesla","Model S",2019,"USD 99,990 (USA, Jul 2019)GBP 91,800 (UK, Jul 2019)EUR 102,700 (DE, Jul 2019)AUD 174,665 (AU, Jul 2019)CNY 893,900 (China, Jul 2019)",320,568,980,2241,100,250,2.6,671,560,NA
"Tesla","Model S",2019,"USD 79,990 (USA, Jul 2019)GBP 77,200 (UK, Jul 2019)EUR 86,800 (DE, Jul 2019)AUD 148,730 (AU, Jul 2019)CNY 793,900 (China, Jul 2019)",320,478,770,2215,100,250,3.8,713,600.3,NA
"Tesla","Model S",2019,"USD 75,000 (USA, Jul 2019)GBP 68,900 (UK, Jul 2019)EUR 79,900 (EU, Jul 2019)AUD 108,100 (AU, Jul 2019)CNY 722,800 (China, Jul 2019)",320,479,770,2163.2,NA,225,4.4,520,436.5,NA
"Tesla","Model 3",2019,NA,370,211,NA,1726,79.5,225,5.3,NA,523,NA
"Tesla","Model 3",2019,"USD 39,490 (USA, Nov 2019)GBP 38,500 (UK, Nov 2019)EUR 44,390 (DE, Nov 2019)AUD 72,896 (AU, Nov 2019)CNY 363,900 (China, Nov 2019)",370,211,NA,1611,54,225,5.6,460,402.3,409
"Tesla","Model 3",2019,NA,370,211,NA,1611,53.6,209,5.9,NA,354,NA
"Tesla","Model X",2019,"USD 104,990 (USA, Jul 2019)GBP 90,500 (UK, Jul 2019)EUR 104,900 (EU, Jul 2019)AUD 170,165 (AU, Jul 2019)CNY 855,100 (China, Jul 2019)",320,568,990,2487,100,250,3.7,542,465,NA
"Tesla","Model X",2019,"USD 84,990 (USA, Jul 2019)GBP 83,000 (UK, Jul 2019)EUR 96,500 (EU, Jul 2019)AUD 157,605 (AU, Jul 2019)CNY 820,600 (China, Jul 2019)",320,386,660,2459,100,250,4.9,NA,NA,NA
"Tesla","Model 3",2019,"USD 56,990 (USA, Nov 2019)GBP 52,000 (UK, Nov 2019)EUR 56,390 (DE, Nov 2019)AUD 106,415 (AU, Nov 2019)CNY 522,000 (China, Nov 2019)",370,358,NA,1860,79.5,261,3.4,560,499,530
"Tesla","Model 3",2019,"USD 48,490 (USA, Nov 2019)GBP 47,700 (UK, Nov 2019)EUR 52,390 (DE, Nov 2019)AUD 95,495 (AU, Nov 2019)CNY 439,900 (China, Nov 2019)",370,335,NA,1847,79.5,233.3,4.6,620,518.2,560
"Tesla","Model 3",2019,NA,370,211,NA,1672,65,225,5.5,NA,425,NA
"Tesla","Model S",2019,"USD 99,990 (USA, Jul 2019)GBP 85,500 (UK, Jul 2019)EUR 98,900 (EU, Jul 2019)AUD 159,105 (AU, Jul 2019)CNY 840,700 (China, Jul 2019)",320,568,930,2241,100,250,3.2,613,506.9,NA
